baggbrt_mean,baggbrt_std,ppov0_mean,ppov0_std,ppov1_mean,ppov1_std,sac_mean,sac_std
0.005085717,0.02609879,0.012159456,0.012720612,0.017887816,0.025012159,0.040006375,0.005716923
0.030575724,0.007034408,-0.036492871,0.060455574,0.031587423,0.01954092,0.030596341,0.007659949
0.03530778,0.001466954,-0.049008464,0.059216035,0.056341359,0.006679431,0.030066327,0.008948224
0.035767083,0.001030035,-0.017988945,0.014227709,0.000146678,0.037068478,0.007479996,0.010879956
0.027334705,0.012472142,0.01863946,0.011442211,-0.08370153,0.088388057,-0.038668974,0.039192318
0.034043649,0.001733676,-0.034178181,0.069222809,-0.055627734,0.057230556,0.015760274,0.034085909
0.034221395,0.001655216,0.000204833,0.016712926,-0.061029086,0.057413469,-0.028540937,0.044050605
0.035776947,0.001551592,-0.000945567,0.013544838,0.00619628,0.034417947,-0.009797935,0.016968186
0.032541555,0.000801613,0.012936754,0.02207912,0.045863047,0.008633112,0.050494082,0.005025212
-0.020871442,0.077951172,0.014339266,0.013407414,0.021401073,0.010168057,-0.000694055,0.067732002
0.03345246,0.000999279,0.001356665,0.015581521,0.019059836,0.031595612,0.00412596,0.013242012
0.034043649,0.001733676,-0.049691963,0.069140375,0.025121991,0.013800347,0.010929217,0.018668568
0.03345246,0.000999279,-0.006844797,0.013310703,-0.049123402,0.06538729,-0.079355353,0.04699564
0.034780236,0.000182902,-0.000163927,0.048005495,0.03357371,0.010921276,0.010172105,0.016433772
0.035343319,0.000716321,0.02118602,0.014819702,-0.162401273,0.072085624,-0.130352356,0.028708711
0.035343319,0.000716321,-0.047291599,0.057084374,-0.005828271,0.038241417,-0.027969853,0.065539355
0.035343319,0.000716321,-0.003138058,0.009828006,-0.066081874,0.058811391,-0.147983793,0.048310008
0.035343319,0.000716321,-0.014677657,0.052701214,-0.036828143,0.085900197,-0.015729169,0.06406579
0.034680781,0.00025735,0.016559304,0.013024946,0.001060669,0.02502537,-0.020490187,0.01306992
0.035738976,0.001200474,-0.062191405,0.057429068,-0.011024488,0.070888614,0.013818169,0.050737717
0.035447097,0.001337657,0.007715604,0.010842237,-0.00662245,0.055543278,0.037777037,0.004749798
0.03375177,0.003306945,0.019545017,0.018918642,-0.037465114,0.038950203,0.032745739,0.019296921
0.034043648,0.003402551,-0.044442729,0.058055571,-0.019483564,0.070855022,-0.019939177,0.074385933
0.035153192,0.002413599,0.004409395,0.014914918,-0.03883943,0.084807509,-0.049633702,0.084564952
0.032790733,0.001322122,-0.038644476,0.067662895,0.016381736,0.005636497,0.005564735,0.034982345
0.035153192,0.002413599,0.008284598,0.012687745,-0.030558332,0.0807585,0.014671104,0.017094994
0.034092835,0.001697391,0.013069956,0.022808112,0.002674091,0.02568398,-0.001100666,0.007933147
0.031174726,0.003126192,0.013732312,0.014389495,-0.033344736,0.075209939,0.030270767,0.022907414
0.033683665,0.002584364,-0.061317051,0.066617343,-0.003424414,0.009460363,-0.035896849,0.04768511
0.035733706,0.000532482,0.018550562,0.009112133,-0.009595231,0.049246431,-0.01318249,0.050253907
0.033683665,0.002584364,-0.02868977,0.077523441,-0.025723334,0.054466163,-0.025205011,0.057103486
0.032917349,0.001501048,-0.028870379,0.015924404,0.008645023,0.011632751,0.014825227,0.016536453
0.032917349,0.001501048,-0.028961611,0.061247044,-0.01024468,0.018396473,0.014469605,0.012776233
0.034087565,0.001632942,-0.033666771,0.079564554,0.03370917,0.01581663,-0.012287579,0.057430206
0.034386876,0.001910998,-0.035857347,0.06978439,-0.016894969,0.020649138,0.017971074,0.031211029
0.03362583,0.001359831,0.022938521,0.01205677,0.012841999,0.015897609,-0.006610924,0.02719564
0.034219451,0.001748297,-0.000125443,0.022460946,0.00500753,0.029567182,0.03292463,0.017767556
0.032856811,0.001542977,0.011586967,0.019513503,0.006705795,0.019273184,0.03048797,0.008128576
0.03336449,0.001328328,0.017243981,0.015500338,0.042171181,0.020494089,0.044380717,0.003616507
0.032856811,0.001542977,0.005144005,0.025803151,-0.004862201,0.028328224,0.007081561,0.040468874
0.034087565,0.001632942,0.010326196,0.010762612,-0.022958398,0.053599091,0.007988283,0.025146969
0.035260079,0.002469894,-0.020864208,0.031312161,0.040999286,0.007768728,0.037854614,0.02610328
0.035117518,0.000233315,0.016699921,0.010839537,0.025167007,0.025103757,0.040487368,0.021915451
0.03466889,0.002269899,0.006517624,0.013146536,0.004815581,0.011736184,0.027626326,0.004850115
0.035260079,0.002469894,-0.027712735,0.070103428,0.001623327,0.034689816,-0.019672769,0.042307048
0.035751948,0.000871481,0.012222941,0.010368804,-0.00351642,0.021511718,0.021405346,0.009684092
0.036211251,0.000837448,0.001485469,0.013449474,0.014276767,0.021795685,0.016448856,0.032598526
0.034493763,0.002022535,-0.043254578,0.078314042,0.047206089,0.009919201,0.028561422,0.018365629
0.035246971,0.001073146,-0.029529386,0.075649279,0.017971037,0.013898647,0.012422352,0.029968901
0.031584895,0.00290721,-0.002294804,0.010172263,-0.088221285,0.038005364,-0.052125144,0.044226376
0.036068826,0.000638226,-0.029166858,0.038907318,-0.072694174,0.067834223,0.033708943,0.025234944
0.03593694,0.000780683,0.010406011,0.012957404,-0.012093286,0.029492463,0.001829876,0.039597876
0.034351337,0.001818635,-0.034152911,0.042343662,0.012834755,0.017159833,0.018071975,0.007230127
0.034219451,0.001748297,-0.00939808,0.012303604,0.012655696,0.037093688,0.020777737,0.041159951
0.036068826,0.001188024,0.00716111,0.015830373,-0.047878967,0.062053904,-0.030361124,0.040520001
0.034219451,0.001718191,0.015174637,0.014791746,-0.01800142,0.033614509,0.005493758,0.040201792
0.03530251,0.000186515,0.002415923,0.006679958,-0.025112277,0.070890492,0.007975491,0.059435314
0.034219451,0.001718191,0.007560691,0.015571134,0.000238055,0.033245661,0.027200468,0.025776103
0.036332597,0.001310685,0.007284068,0.006757058,-0.006458006,0.076735202,0.046381568,0.024792905
0.035865591,0.00069009,-0.004718893,0.022310648,0.033719854,0.019420288,0.051307928,0.013068017
0.035249404,0.000261618,-0.006371325,0.027247255,-0.006644379,0.006534727,0.001739156,0.017074267
0.034087565,0.001632942,0.004392145,0.005098607,0.024005055,0.018307108,0.037151602,0.018744739
0.035434395,0.000323053,0.004292394,0.012522906,0.016918498,0.020904683,0.027325211,0.009398757
